Year,Month,Total_Days,KW/h Total Power for month,KW/h Aux Current for month,KW/h Fan Power for month,KW/h Comp Power for month,KW/h Aux Power for month,KW/h Pump Power for month
2018,09,30,123.50735555555555,0.0,21.387552777777778,58.96053611111111,0.0,43.15926666666667
2018,10,31,559.3438444444445,0.0,112.60487222222223,307.53215277777775,0.0,139.20681944444445
2018,11,30,1311.2221194444444,0.1573905555555564,237.28230833333333,847.0086527777778,32.136963888888886,194.79419444444446
2018,12,31,1945.239236111111,0.2467805555555562,311.7049388888889,1348.370336111111,51.59954444444445,233.56441666666666
2019,01,31,2632.6210305555555,1.2701786111111166,334.65892777777776,1777.0748055555555,262.4534,258.43389722222224
2019,02,28,2056.6606166666666,0.7815625000000019,286.425575,1385.821213888889,161.46738888888888,222.94643888888888
2019,03,31,1674.3623694444445,0.30381916666666525,277.3640222222222,1115.391025,62.988236111111114,218.6190861111111
2019,04,30,748.2305027777778,0.0,166.43178055555555,451.8029027777778,0.0,129.99581944444444
2019,05,31,574.6411388888889,0.0,144.02130555555556,310.044925,0.0,120.57490833333334
2019,06,30,181.55424722222222,0.0,48.857483333333334,84.03518611111112,0.0,48.66157777777778
2019,07,31,492.34590833333334,0.0,108.60834166666666,266.47279444444445,0.0,117.26477222222222
2019,08,31,358.08931944444447,0.0,89.87762222222223,170.45520833333333,0.0,97.7564888888889
2019,09,30,256.80667222222223,0.0,69.67650833333333,117.45691944444444,0.0,69.67324444444445
2019,10,31,560.1233055555556,0.0,140.24383333333333,304.5094,0.0,115.37007222222222
2019,11,30,1431.9825194444445,0.018923055555555547,268.96991944444443,947.1633527777777,3.946,211.90324722222223
2019,12,31,2041.994525,0.20296916666666803,337.6910833333333,1416.8005611111112,42.17735555555556,245.325525
2020,01,31,1900.4038083333332,0.23111333333333411,327.58172777777776,1288.1875916666668,47.903888888888886,236.7306
2020,02,29,1683.9092527777777,0.14591888888888907,265.1489638888889,1166.4522083333334,30.281177777777778,222.02690277777776
2020,03,30,1110.2517583333333,0.0170013888888889,136.84579444444444,776.4601583333333,3.5410166666666667,193.4047888888889
2020,04,30,955.0814944444444,0.0,114.07154722222222,656.1574194444445,0.0,184.85252777777777
2020,05,09,173.78510277777778,0.0,19.318644444444445,112.39963055555556,0.0,42.066827777777775
2020,06,30,132.34966944444446,0.0,15.30091388888889,78.53668888888889,0.0,38.51206666666667
2020,07,31,493.58803611111114,0.0,58.5706,307.0942611111111,0.0,127.923175
2020,08,31,401.86100555555555,0.0,45.794219444444444,246.8110861111111,0.0,109.2557
2020,09,30,320.52773333333334,0.0,34.063225,195.92350277777777,0.0,90.54100555555556
2020,10,31,588.4958888888889,0.0,64.42744444444445,395.39516944444443,0.0,128.673275
2020,11,30,1036.1787916666667,0.0024486111111111106,134.32200555555556,718.6483805555556,0.5262666666666667,182.6821388888889
2020,12,31,1716.3512444444445,0.04034805555555555,225.05926666666667,1247.6424,8.496202777777778,235.153375
2021,01,31,1693.2861055555557,0.2857091666666663,220.20388055555554,1209.0922027777779,58.603944444444444,205.38607777777779
2021,02,28,1709.4943916666666,0.16155972222222312,222.2642888888889,1251.3595527777777,33.433166666666665,202.43738333333334
2021,03,31,1268.873263888889,0.023976944444444443,159.99566944444445,905.3456166666666,4.990144444444445,198.54183333333333
2021,04,30,784.3200138888889,0.0,94.04318888888889,527.5442111111112,0.0,162.7326138888889
2021,05,31,510.08896111111113,0.0,55.130266666666664,322.57843333333335,0.0,132.3802611111111
2021,06,30,245.04383611111112,0.0,27.421772222222224,153.95735,0.0,63.66471388888889
2021,07,31,169.5809972222222,0.0,18.675158333333332,99.30736666666667,0.0,51.59847222222222
2021,08,31,307.8684944444444,0.0,37.755522222222226,188.32648055555555,0.0,81.78649166666666
2021,09,30,137.46986944444444,0.0,16.06021388888889,80.21076944444444,0.0,41.19888611111111
2021,10,31,305.03459444444445,0.0,36.218986111111114,196.17312222222222,0.0,72.64248611111111
2021,11,30,993.1600166666667,0.0,130.5708361111111,687.1724166666667,0.0,175.41676388888888
2021,12,31,1475.23325,0.003028611111111109,196.763525,1053.2681694444445,0.6431083333333333,224.5584472222222
2022,01,31,2373.986502777778,0.8953538888888654,301.2125972222222,1636.7393277777778,182.18531666666667,253.8492611111111
2022,02,20,1247.4724777777778,0.19058000000000017,163.76358055555556,890.0000722222222,38.990091666666665,154.71873333333335
